Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.8535000085830688,"specie, habitat, population, use, area, distribution, study, high, model, species","All animals must select sites to rest and may spend a large portion of their lives doing so. Despite the importance of this period in their daily activity budget, we lack information about rest/roost ecology for most animals, including the imperiled lesser prairie-chicken (Tympanuchus pallidicinctus; hereafter LEPC). Therefore, we sought to identify how landcover, anthropogenic features, and human policy (i.e., presence of the Conservation Reserve Program [CRP]) influenced roost site selection and movement patterns of the LEPC. From March to May 2013-2015, we captured and fitted GPS transmitters to 106 LEPCs (n = 72 males; n = 34 females) within Beaver County, Oklahoma and recorded two nocturnal locations per 24-hour period, annually. We used discrete choice models and generalized linear mixed effects models to determine how vegetation cover, CRP patches, and anthropogenic features influenced roost site selection and movements to roosting sites, respectively. We found that roost sites were closer to CRP, leks, and croplands than would be expected at random. Conversely, roost sites were located farther away from shortgrass prairie, roads, and transmission lines than expected. The probability of a LEPC roosting in a location increased by 15% and 4.5% for every 36-meter decrease in distance to a CRP patch and distance to their lek of capture, respectively. Similarly, individuals roosting in CRP patches would travel shorter distances to get to roost sites if their last diurnal location was near CRP. Bird's movements to roosts in CRP were 1.4 times shorter for every meter decrease in the distance of their last diurnal location to a CRP patch, indicating that individuals modify their movement based on CRP presence. Our results indicate that CRP is influential to roosting ecology of the LEPC within this region and may be meeting critical cover requirements."
1,3.0,0.47040000557899475,"area, management, protect, fish, marine, biodiversity, impact, ecosystem, use, identify","Although many significant policies and legislation have been put forth by the Chinese government aiming toward ecological civilization for the aquatic environment, in practice, the situation is still undesirable. A pioneering multi-year study has since been conducted on the East Tiaoxi River (a major tributary of the renowned Yangtze River), focusing on fish distribution, influencing factors and habitat requirements, and river health as well. This revealed certain key species, hotspot protection areas, negative impacts of local anthropogenic activities, and inappropriate perceptions and practices of conservation and restoration. We found that not all fish species were equally conserved and that the supposedly ecological engineering measures were initiated without regard for ecological integrity. Our exemplary study appreciates scientific basis and truly ecological notion, and urgently advocates comprehensive and continuous basin-scale scientific investigation of fish biodiversity, and ecological river-oriented conservation and restoration action for the Yangtze River Basin and broader areas of China."
2,1.0,0.6818000078201294,"use, land, area, landscape, spatial, result, urban, model, method, development","Globally, protected areas are being established to protect biodiversity and to promote ecosystem resilience. The typical spatial conservation planning process leading to the creation of these protected areas focuses on representation and replication of ecological features, often using decision support tools such as Marxan. Yet, despite the important role ecological connectivity has in metapopulation persistence and resilience, Marxan currently requires manual input or specialized scripts to explicitly consider connectivity. 'Marxan Connect' is a new open source, open access Graphical User Interface (GUI) tool designed to assist conservation planners with the appropriate use of data on ecological connectivity in protected area network planning. Marxan Connect can facilitate the use of estimates of demographic connectivity (e.g. derived from animal tracking data, dispersal models, or genetic tools) or structural landscape connectivity (e.g. isolation by resistance). This is accomplished by calculating metapopulation-relevant connectivity metrics (e.g. eigenvector centrality) and treating those as conservation features or by including the connectivity data as a spatial dependency amongst sites in the prioritization process. Marxan Connect allows a wide group of users to incorporate directional ecological connectivity into conservation planning with Marxan. The solutions provided by Marxan Connect, combined with ecologically relevant post-hoc testing, are more likely to support persistent and resilient metapopulations (e.g. fish stocks) and provide better protection for biodiversity."
3,1.0,0.9962000250816345,"use, land, area, landscape, spatial, result, urban, model, method, development","Most spatial conservation prioritisations being implemented across the globe are based on static approaches to conservation planning. These use snapshots of systems to support decision-making. However, ignoring the dynamic nature of systems can result in misleading spatial prioritisations and missed opportunities to encourage participation in conservation programmes. Using a modelling approach, we show that integrating economic and ecological feedbacks into conservation planning improved social and ecological outcomes. We developed an approach that enabled accounting for feedbacks of farmland set-asides using a popular conservation planning tool. We empirically assessed the impact of ignoring feedbacks on plans to restore the Brazilian Atlantic Forest by comparing outcomes of our approach and a widely used static approach. The proposed approach attained better conservation outcomes than a static approach, at about 7% lower cost, while also allowing more farmers to benefit economically from the set-aside scheme through capitalising on the differences between their opportunity costs and the amount paid by the scheme. Accounting for feedbacks led to substantially different areas being prioritised for farmland set-asides, and to more farmers being included in the set-aside scheme. These results show important benefits from understanding, and then working with, feedbacks that inevitably accompany large-scale conservation interventions. Our approach is the first to integrate both environmental and economic feedbacks into spatial conservation planning, and model information rent capture. In doing so, it demonstrates how existing economic incentives can be used to encourage farmers to join a conservation set-aside, while still resulting in a lower overall intervention cost."
4,1.0,0.6068000197410583,"use, land, area, landscape, spatial, result, urban, model, method, development","Conservation planning is increasingly using coarse filters based on the idea of conserving nature's stage. One such approach is based on ecosystems and the concept of ecological integrity, although myriad ways exist to measure ecological integrity. To describe our ecosystem-based index of ecological integrity (IEI) and its derivative index of ecological impact (ecoImpact), and illustrate their applications for conservation assessment and planning in the northeastern United States. We characterized the biophysical setting of the landscape at the 30 m cell resolution using a parsimonious suite of settings variables. Based on these settings variables and mapped ecosystems, we computed a suite of anthropogenic stressor metrics reflecting intactness (i.e., freedom from anthropogenic stressors) and resiliency metrics (i.e., connectivity to similar neighboring ecological settings), quantile-rescaled them by ecosystem and geographic extent, and combined them in a weighted linear model to create IEI. We used the change in IEI over time under a land use scenario to compute ecoImpact. We illustrated the calculation of IEI and ecoImpact to compare the ecological integrity consequences of a 70-year projection of urban growth to an alternative scenario involving securing a network of conservation core areas (reserves) from future development. IEI and ecoImpact offer an effective way to assess ecological integrity across the landscape and examine the potential ecological consequences of alternative land use and land cover scenarios to inform conservation decision making."
5,5.0,0.6780999898910522,"knowledge, local, wildlife, community, ecology, human, political, nature, indigenous, people","Nature education based on natural environments, such as nature reserves, has been thriving worldwide for several decades with abundant positive results concerning improvement in public environmental attitude and behaviors. However, whether the public-oriented nature education can also indirectly reach out to benefit employees, namely, employees' informal learning in nature education, remains understudied. The present study addressed this gap by making a preliminary exploration in fifteen nature reserves in China with an online survey, and we found that employees could be positively affected by informally acquired nature education in terms of increased self-reported ecological conservation behaviors. Besides, we revealed the underlying mechanism that drives this positive effect-employees' indirectly acquired nature education could increase their environmental competence, leading to improved self-efficacy, which in turn elevates ecological conservation behaviors. We thereby discussed the implications of these results, offered practical suggestions for policy making, management practice and employees' selfenhancing, and we also identified directions for future research."
6,5.0,0.5353999733924866,"knowledge, local, wildlife, community, ecology, human, political, nature, indigenous, people","In international wildlife conservation programs, community engagement and incentivization strategies (e.g., wildlife-related employment, tourism income) typically reflect the ecological understandings and motivations of Western conservationists who design them. However, these views may not always be shared by people who live alongside wildlife and are the intended beneficiaries of the incentives. Such misalignments can undermine the effectiveness of conservation efforts to motivate pro-conservation behavior. In Samburu, Kenya, an area with multiple active international conservation programs, we sought to assess local residents' perspectives regarding three factors known to influence pro-environmental behavior: (a) ecological knowledge, including views on wildlife abundance and extinction risk; (b) perceptions of agency regarding wildlife conservation (here defined as the ability of humans to influence wildlife populations); and (c) personal motivations for wildlife conservation. We interviewed 74 residents and evaluated whether their perspectives aligned with the premises and assumptions that underpin the strategies commonly used by international organizations to promote wildlife conservation in the area. We found that concepts of rarity and extinction based on Western-based science were not salient in how residents thought about local wildlife populations. Consistent with core assumptions of Western conservation programs, however, most residents did feel a sense of agency to influence wildlife populations, and reported economic incentives as primary motivations for conservation. We conclude with cautionary notes regarding tacit assumptions made when promoting wildlife conservation in other cultures, and the ethics and potential unintended consequences of 'motivation crowding' by powerful exogenous agents."
7,2.0,0.66839998960495,"specie, habitat, population, use, area, distribution, study, high, model, species","In Europe brown bears are currently largely confined to mountainous areas and eastern European refugia with sparse human populations. Poland typifies this distribution, with bears being present in the Carpathian Mountains, but absent from the lowlands. Recently large carnivore populations have been recovering throughout Europe, raising the question of the potential for bears to recolonize both the Polish and wider central European lowlands. The nearest population with good connectivity to the Polish lowlands is in central Belarus, where bears are currently expanding. In recent years there have been at least two undocumented sightings of bears in eastern Poland, such as in Bialowieza Forest in 2010 and Augustow Forest in 2018. While carrying out a camera trap study in June 2019, we documented the first brown bear in the Polish part of Bialowieza Forest since 1963. The individual apparently left for the Belarusian side of the forest, where a bear continued to be spotted several times over the following month. After over half a year of no signs of bears, on the April 1, 2020, a bear was recorded again on the Belarusian side of the forest. It is unknown whether this was the same individual. If the brown bear population in Belarus continues to expand, such visits of bears to eastern Poland are likely to become increasingly frequent in the near future. This could lead to the eventual reestablishment of the species in Bialowieza Forest and the wider central European lowlands, restoring a diverse array of ecological interactions, while having significant and complex management implications. We briefly review the ecosystem impacts of bears in their natural ranges and discuss potential conservation management issues that would need to be dealt with in order to minimise potential conflicts, honour legal obligations and conserve the species. (c) 2020 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)."
8,0.0,0.4578999876976013,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","The incorporation of conservation physiology into environmental management, particularly ecological restoration, is underutilized, despite the capacity of such approaches to discern how populations respond to the challenges of unpredictable and potentially inhospitable environments. We explore several examples where detailed mechanistic understanding of the physiological constraints of keystone and foundational species, ecological service providers such as insect pollinators, and species of conservation concern has been used to optimize the return of these species to landscapes following the cessation of mineral extraction. Using such data can optimize the rapid return of functioning ecosystems during restoration or increase the conservation value of restoration by returning insurance populations of threatened species. Integrating this level of mechanistic understanding with fine-resolution spatial data in the form of biophysical modeling can help plan recovery and identify targets that can subsequently be used in assessing restoration success, particularly in situations that require substantial investment over long periods, such as post-mining restoration. There is growing recognition of the valuable insights offered by conservation physiology to broader practice and policy development, and there have been substantial technical developments in conservation physiology leading up to and into the twenty-first century as a result. The global challenge facing restoration ecology has, however, also grown in that time. Rapidly and efficiently meeting ambitious global restoration objectives will require a targeted approach, and we suggest that the application of physiological data will be most strategic for rare species, keystone species, and ecosystem service providers more broadly."
9,3.0,0.6182000041007996,"area, management, protect, fish, marine, biodiversity, impact, ecosystem, use, identify","Designating protected and conserved areas is a critical component of biodiversity conservation. The 10th Convention on Biological Diversity (CBD) in 2010 set global targets for the areal extent of protected areas (PAs) that were met partially in 2020, yet a new, more ambitious target is needed to halt ongoing global biodiversity loss. China recently introduced a national Ecological Conservation Redline policy, which aims to ensure no net change in land cover and no net loss of biodiversity or degradation of ecosystem services within areas that are critical for maintaining ecological safety and functions. Enacting this policy could achieve ancillary conservation outcomes even where conservation is not the primary objective, thus meeting CBD's definition of other effective area-based conservation measures (OECM). By comparing the Ecological Conservation Redline boundaries with important coastal waterbird sites in China, we found that three times more sites could be conserved under the new redline policy compared to the national nature reserve system alone. This indicates that considering the redline policy approach as a form of OECM is a promising pathway to expand the areal coverage of PAs and conserve biodiversity outside currently designated PAs, providing a model that could be adopted around the world."
